John Ousterhout, Professor, Computer Systems + Operating/Distributed Systems
Zakir Durumeric, Assistant Professor, Computer Systems + Computer Security
Christos Kozyrakis, Professor, Computer Systems + Architecture + Operating/Distributed Systems
Dawson Engler, Associate Professor, Computer Systems + Programming Systems and Verification
Jennifer Widom, Professor, Computer Systems + Data Science
Keith Winstein, Assistant Professor, Computer Systems + Networking
Sara Achour, Assistant Professor, Computer Systems
Sachin Katti, Associate Professor, Computer Systems + Networking
Patrick Hanrahan, Professor, Computer Graphics + Computer Systems
Balaji Prabhakar, Professor, Computer Systems + Networking
Mark Horowitz, Professor, Computer Systems + Architecture
Kunle Olukotun, Professor, Computer Systems + Architecture + Programming Systems and Verification
Philip Levis, Associate Professor, Computer Systems + Networking
Alex Aiken, Professor, Computer Systems + Programming Systems and Verification
David Mazières, Professor, Computer Systems + Computer Security + Operating/Distributed Systems
Caroline Trippel, Assistant Professor, Machine Learning + Computer Systems + Architecture
Matei Zaharia, Assistant Professor, Computer Systems + Operating/Distributed Systems + Data Science
Mendel Rosenblum, Professor, Computer Systems + Operating/Distributed Systems
Subhasish Mitra, Professor, Computer Systems + Architecture + Programming Systems and Verification
Peter Bailis, Adjunct Professor, Computer Systems + Operating/Distributed Systems + Data Science
Monica Lam, Professor, Artificial Intelligence + Computer Systems + Human-Centered and Creative AI + Natural Language Processing and Speech
Nick McKeown, Professor, Computer Systems + Networking
Clark Barrett, Professor, Artificial Intelligence + Architecture + Computer Systems + Human-Centered and Creative AI + Programming Systems and Verification
John Hennessy, Professor, Computer Systems
Chris Ré, Associate Professor, Artificial Intelligence + Computer Systems + Data Science + Statistical or Theoretical Machine Learning
